"id","age","sex","education","nfc01","nfc02","nfc03","nfc04","nfc05","nfc06","nfc07","nfc08","nfc09","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","action_orientation","effortful_control","self_control"
360,28,"Male","Abitur",6,5,4,2,6,4,3,4,3,2,2,2,2,5,1,2,9,0,-2
361,20,"Female","Abitur",6,7,6,1,7,4,2,1,2,3,2,2,6,4,1,1,7,17,4
362,22,"Female","Abitur",4,3,2,3,6,5,4,5,2,6,3,2,2,2,2,4,5,-4,-10
364,26,"Male","Abitur",5,4,5,3,5,4,3,2,4,4,3,3,4,4,3,2,7,10,0
365,22,"Male","Abitur",7,7,6,1,7,2,1,2,2,7,5,2,4,3,1,1,7,-10,-14
366,24,"Female","Abitur",4,5,4,2,6,4,4,4,1,4,4,3,4,4,2,2,3,7,-2
368,22,"Female","Abitur",6,5,6,1,6,3,3,3,1,4,2,2,4,5,2,2,11,26,12
369,25,"Male","Abitur",7,7,6,1,7,4,1,2,1,2,2,1,5,4,1,1,13,29,13
371,20,"Male","Abitur",6,3,5,5,7,2,2,3,2,2,2,1,5,3,2,3,15,-10,3
372,23,"Male","Abitur",5,6,6,1,7,3,1,1,1,2,1,1,2,3,5,3,19,28,0
375,29,"Male","Abitur",7,7,5,2,7,2,2,4,1,3,3,1,5,3,2,1,11,-3,-2
376,26,"Female","Abitur",6,5,2,2,5,4,2,4,2,3,3,2,5,4,2,3,4,1,-8
377,37,"Male","Abitur",7,5,7,1,6,1,2,2,2,2,2,2,5,6,1,1,6,-21,-18
380,21,"Female","Abitur",3,6,4,1,7,6,6,3,2,2,2,2,6,2,4,5,3,-8,2
382,24,"Female","Abitur",1,1,1,1,1,7,7,1,7,7,7,5,1,1,6,6,2,-35,-20
384,27,"Female","Other",5,3,1,3,3,5,2,3,1,2,3,1,2,2,4,4,4,24,9
385,21,"Female","Abitur",5,6,4,1,6,4,2,3,4,2,4,2,5,3,1,3,9,22,10
386,32,"Female","Abitur",6,3,2,5,5,6,2,3,6,7,6,5,5,2,1,1,5,-2,-12
